"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - memory_usage","raschka_cpu_Seed45887 - memory_usage__MIN","raschka_cpu_Seed45887 - memory_usage__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - memory_usage","karpathy_cpu_Seed45887 - memory_usage__MIN","karpathy_cpu_Seed45887 - memory_usage__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - memory_usage","raschka_cpu_Seed5678 - memory_usage__MIN","raschka_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - memory_usage","karpathy_cpu_Seed5678 - memory_usage__MIN","karpathy_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - memory_usage","karpathy_cpu_Seed123 - memory_usage__MIN","karpathy_cpu_Seed123 - memory_usage__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - memory_usage","raschka_cpu_Seed123 - memory_usage__MIN","raschka_cpu_Seed123 - memory_usage__MAX"
"2800","14","14","14","5739.328125","5739.328125","5739.328125","29","29","29","3200.4609375","3200.4609375","3200.4609375","14","14","14","5379.36328125","5379.36328125","5379.36328125","29","29","29","3200.93359375","3200.93359375","3200.93359375","29","29","29","3199.99609375","3199.99609375","3199.99609375","14","14","14","5684.60546875","5684.60546875","5684.60546875"
"3000","15","15","15","5720.3828125","5720.3828125","5720.3828125","31","31","31","3184.51171875","3184.51171875","3184.51171875","15","15","15","5762.80078125","5762.80078125","5762.80078125","31","31","31","3186.9765625","3186.9765625","3186.9765625","31","31","31","3198.75","3198.75","3198.75","15","15","15","5699.00390625","5699.00390625","5699.00390625"
"3200","16","16","16","5996.625","5996.625","5996.625","33","33","33","3184.51171875","3184.51171875","3184.51171875","16","16","16","5412.08203125","5412.08203125","5412.08203125","33","33","33","3186.9765625","3186.9765625","3186.9765625","33","33","33","3198.80859375","3198.80859375","3198.80859375","16","16","16","5844.0234375","5844.0234375","5844.0234375"
"3400","17","17","17","5752.37109375","5752.37109375","5752.37109375","35","35","35","3184.51171875","3184.51171875","3184.51171875","17","17","17","5460.265625","5460.265625","5460.265625","35","35","35","3183.98046875","3183.98046875","3183.98046875","35","35","35","3198.80859375","3198.80859375","3198.80859375","17","17","17","5698.90625","5698.90625","5698.90625"
"3600","18","18","18","5992.30859375","5992.30859375","5992.30859375","37","37","37","3187.5078125","3187.5078125","3187.5078125","18","18","18","5681.39453125","5681.39453125","5681.39453125","37","37","37","3183.98046875","3183.98046875","3183.98046875","37","37","37","3198.80859375","3198.80859375","3198.80859375","18","18","18","5694.5234375","5694.5234375","5694.5234375"
"3800","19","19","19","5716.80859375","5716.80859375","5716.80859375","39","39","39","3184.51171875","3184.51171875","3184.51171875","19","19","19","5686.3828125","5686.3828125","5686.3828125","39","39","39","3186.9765625","3186.9765625","3186.9765625","39","39","39","3198.80859375","3198.80859375","3198.80859375","19","19","19","5676.9296875","5676.9296875","5676.9296875"
"4000","20","20","20","5732.41796875","5732.41796875","5732.41796875","41","41","41","3184.51171875","3184.51171875","3184.51171875","20","20","20","5472.109375","5472.109375","5472.109375","41","41","41","3183.98046875","3183.98046875","3183.98046875","41","41","41","3198.8125","3198.8125","3198.8125","20","20","20","5672.6484375","5672.6484375","5672.6484375"
"4200","21","21","21","5995.609375","5995.609375","5995.609375","43","43","43","3184.51171875","3184.51171875","3184.51171875","21","21","21","5451.9140625","5451.9140625","5451.9140625","43","43","43","3183.98046875","3183.98046875","3183.98046875","43","43","43","3198.8125","3198.8125","3198.8125","21","21","21","5590.734375","5590.734375","5590.734375"
"4400","22","22","22","5729.7109375","5729.7109375","5729.7109375","45","45","45","3184.51171875","3184.51171875","3184.51171875","22","22","22","5610.2734375","5610.2734375","5610.2734375","45","45","45","3183.98046875","3183.98046875","3183.98046875","45","45","45","3199.8125","3199.8125","3199.8125","22","22","22","5695.98828125","5695.98828125","5695.98828125"
"4600","23","23","23","5735.4375","5735.4375","5735.4375","47","47","47","3184.51171875","3184.51171875","3184.51171875","23","23","23","5448.66796875","5448.66796875","5448.66796875","47","47","47","3186.9765625","3186.9765625","3186.9765625","47","47","47","3196.81640625","3196.81640625","3196.81640625","23","23","23","5674.21484375","5674.21484375","5674.21484375"
