"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - train_accuracy","raschka_cpu_Seed45887 - train_accuracy__MIN","raschka_cpu_Seed45887 - train_accuracy__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - train_accuracy","karpathy_cpu_Seed45887 - train_accuracy__MIN","karpathy_cpu_Seed45887 - train_accuracy__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - train_accuracy","raschka_cpu_Seed5678 - train_accuracy__MIN","raschka_cpu_Seed5678 - train_accuracy__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - train_accuracy","karpathy_cpu_Seed5678 - train_accuracy__MIN","karpathy_cpu_Seed5678 - train_accuracy__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - train_accuracy","karpathy_cpu_Seed123 - train_accuracy__MIN","karpathy_cpu_Seed123 - train_accuracy__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - train_accuracy","raschka_cpu_Seed123 - train_accuracy__MIN","raschka_cpu_Seed123 - train_accuracy__MAX"
"2000","10","10","10","0.6472222208976746","0.6472222208976746","0.6472222208976746","21","21","21","0.609375","0.609375","0.609375","10","10","10","0.6451612710952759","0.6451612710952759","0.6451612710952759","21","21","21","0.61083984375","0.61083984375","0.61083984375","21","21","21","0.583984375","0.583984375","0.583984375","10","10","10","0.6150000095367432","0.6150000095367432","0.6150000095367432"
"2200","11","11","11","0.5737885236740112","0.5737885236740112","0.5737885236740112","23","23","23","0.59228515625","0.59228515625","0.59228515625","11","11","11","0.634719729423523","0.634719729423523","0.634719729423523","23","23","23","0.5927734375","0.5927734375","0.5927734375","23","23","23","0.5966796875","0.5966796875","0.5966796875","11","11","11","0.5561569929122925","0.5561569929122925","0.5561569929122925"
"2400","12","12","12","0.6077170372009277","0.6077170372009277","0.6077170372009277","25","25","25","0.607421875","0.607421875","0.607421875","12","12","12","0.6092436909675598","0.6092436909675598","0.6092436909675598","25","25","25","0.609375","0.609375","0.609375","25","25","25","0.59521484375","0.59521484375","0.59521484375","12","12","12","0.5746073126792908","0.5746073126792908","0.5746073126792908"
"2600","13","13","13","0.6491228342056274","0.6491228342056274","0.6491228342056274","27","27","27","0.587890625","0.587890625","0.587890625","13","13","13","0.6157270073890686","0.6157270073890686","0.6157270073890686","27","27","27","0.587890625","0.587890625","0.587890625","27","27","27","0.6015625","0.6015625","0.6015625","13","13","13","0.6465638279914856","0.6465638279914856","0.6465638279914856"
"2800","14","14","14","0.647743821144104","0.647743821144104","0.647743821144104","29","29","29","0.607421875","0.607421875","0.607421875","14","14","14","0.6491228342056274","0.6491228342056274","0.6491228342056274","29","29","29","0.60546875","0.60546875","0.60546875","29","29","29","0.62353515625","0.62353515625","0.62353515625","14","14","14","0.6034482717514038","0.6034482717514038","0.6034482717514038"
"3000","15","15","15","0.597842812538147","0.597842812538147","0.597842812538147","31","31","31","0.60546875","0.60546875","0.60546875","15","15","15","0.6023622155189514","0.6023622155189514","0.6023622155189514","31","31","31","0.6064453125","0.6064453125","0.6064453125","31","31","31","0.6533203125","0.6533203125","0.6533203125","15","15","15","0.6148738265037537","0.6148738265037537","0.6148738265037537"
"3200","16","16","16","0.6470588445663452","0.6470588445663452","0.6470588445663452","33","33","33","0.60546875","0.60546875","0.60546875","16","16","16","0.6317460536956787","0.6317460536956787","0.6317460536956787","33","33","33","0.60546875","0.60546875","0.60546875","33","33","33","0.583984375","0.583984375","0.583984375","16","16","16","0.6201743483543396","0.6201743483543396","0.6201743483543396"
"3400","17","17","17","0.604651153087616","0.604651153087616","0.604651153087616","35","35","35","0.62353515625","0.62353515625","0.62353515625","17","17","17","0.5969899892807007","0.5969899892807007","0.5969899892807007","35","35","35","0.623046875","0.623046875","0.623046875","35","35","35","0.6376953125","0.6376953125","0.6376953125","17","17","17","0.5851648449897766","0.5851648449897766","0.5851648449897766"
"3600","18","18","18","0.5766423344612122","0.5766423344612122","0.5766423344612122","37","37","37","0.60791015625","0.60791015625","0.60791015625","18","18","18","0.5966209173202515","0.5966209173202515","0.5966209173202515","37","37","37","0.6103515625","0.6103515625","0.6103515625","37","37","37","0.62158203125","0.62158203125","0.62158203125","18","18","18","0.6501416563987732","0.6501416563987732","0.6501416563987732"
"3800","19","19","19","0.6943573951721191","0.6943573951721191","0.6943573951721191","39","39","39","0.62646484375","0.62646484375","0.62646484375","19","19","19","0.5681511759757996","0.5681511759757996","0.5681511759757996","39","39","39","0.6298828125","0.6298828125","0.6298828125","39","39","39","0.6552734375","0.6552734375","0.6552734375","19","19","19","0.6202702522277832","0.6202702522277832","0.6202702522277832"
"4000","20","20","20","0.6479250192642212","0.6479250192642212","0.6479250192642212","41","41","41","0.65966796875","0.65966796875","0.65966796875","20","20","20","0.6775777339935303","0.6775777339935303","0.6775777339935303","41","41","41","0.662109375","0.662109375","0.662109375","41","41","41","0.62548828125","0.62548828125","0.62548828125","20","20","20","0.6793048977851868","0.6793048977851868","0.6793048977851868"
"4200","21","21","21","0.6201044321060181","0.6201044321060181","0.6201044321060181","43","43","43","0.60546875","0.60546875","0.60546875","21","21","21","0.6506746411323547","0.6506746411323547","0.6506746411323547","43","43","43","0.607421875","0.607421875","0.607421875","43","43","43","0.64599609375","0.64599609375","0.64599609375","21","21","21","0.582456111907959","0.582456111907959","0.582456111907959"
"4400","22","22","22","0.6527196764945984","0.6527196764945984","0.6527196764945984","45","45","45","0.62109375","0.62109375","0.62109375","22","22","22","0.6313405632972717","0.6313405632972717","0.6313405632972717","45","45","45","0.62158203125","0.62158203125","0.62158203125","45","45","45","0.63427734375","0.63427734375","0.63427734375","22","22","22","0.5949926376342773","0.5949926376342773","0.5949926376342773"
"4600","23","23","23","0.6655290126800537","0.6655290126800537","0.6655290126800537","47","47","47","0.60498046875","0.60498046875","0.60498046875","23","23","23","0.6656716465950012","0.6656716465950012","0.6656716465950012","47","47","47","0.60595703125","0.60595703125","0.60595703125","47","47","47","0.6337890625","0.6337890625","0.6337890625","23","23","23","0.6496894359588623","0.6496894359588623","0.6496894359588623"
"4800","24","24","24","0.6727828979492188","0.6727828979492188","0.6727828979492188","49","49","49","0.63525390625","0.63525390625","0.63525390625","24","24","24","0.6731571555137634","0.6731571555137634","0.6731571555137634","49","49","49","0.63525390625","0.63525390625","0.63525390625","49","49","49","0.64404296875","0.64404296875","0.64404296875","24","24","24","0.6370280385017395","0.6370280385017395","0.6370280385017395"
"5000","25","25","25","0.6382978558540344","0.6382978558540344","0.6382978558540344","51","51","51","0.62744140625","0.62744140625","0.62744140625","25","25","25","0.6676557660102844","0.6676557660102844","0.6676557660102844","51","51","51","0.62841796875","0.62841796875","0.62841796875","51","51","51","0.61767578125","0.61767578125","0.61767578125","25","25","25","0.5593607425689697","0.5593607425689697","0.5593607425689697"
"5200","26","26","26","0.5904499292373657","0.5904499292373657","0.5904499292373657","53","53","53","0.6337890625","0.6337890625","0.6337890625","26","26","26","0.607464611530304","0.607464611530304","0.607464611530304","53","53","53","0.6328125","0.6328125","0.6328125","53","53","53","0.65771484375","0.65771484375","0.65771484375","26","26","26","0.6326530575752258","0.6326530575752258","0.6326530575752258"
"5400","27","27","27","0.6198952794075012","0.6198952794075012","0.6198952794075012","55","55","55","0.66162109375","0.66162109375","0.66162109375","27","27","27","0.6074498295783997","0.6074498295783997","0.6074498295783997","55","55","55","0.6630859375","0.6630859375","0.6630859375","55","55","55","0.64599609375","0.64599609375","0.64599609375","27","27","27","0.6508151888847351","0.6508151888847351","0.6508151888847351"
"5600","28","28","28","0.6397849321365356","0.6397849321365356","0.6397849321365356","57","57","57","0.646484375","0.646484375","0.646484375","28","28","28","0.6410256624221802","0.6410256624221802","0.6410256624221802","57","57","57","0.6474609375","0.6474609375","0.6474609375","57","57","57","0.6640625","0.6640625","0.6640625","28","28","28","0.6335403919219971","0.6335403919219971","0.6335403919219971"
"5800","29","29","29","0.6952789425849915","0.6952789425849915","0.6952789425849915","59","59","59","0.6650390625","0.6650390625","0.6650390625","29","29","29","0.5532591342926025","0.5532591342926025","0.5532591342926025","59","59","59","0.66650390625","0.66650390625","0.66650390625","59","59","59","0.65673828125","0.65673828125","0.65673828125","29","29","29","0.6204188466072083","0.6204188466072083","0.6204188466072083"
"6000","30","30","30","0.6503164768218994","0.6503164768218994","0.6503164768218994","61","61","61","0.60791015625","0.60791015625","0.60791015625","30","30","30","0.6612021923065186","0.6612021923065186","0.6612021923065186","61","61","61","0.60693359375","0.60693359375","0.60693359375","61","61","61","0.638671875","0.638671875","0.638671875","30","30","30","0.6830601096153259","0.6830601096153259","0.6830601096153259"
"6200","31","31","31","0.604651153087616","0.604651153087616","0.604651153087616","63","63","63","0.6572265625","0.6572265625","0.6572265625","31","31","31","0.6294706463813782","0.6294706463813782","0.6294706463813782","63","63","63","0.658203125","0.658203125","0.658203125","63","63","63","0.6650390625","0.6650390625","0.6650390625","31","31","31","0.6425532102584839","0.6425532102584839","0.6425532102584839"
"6400","32","32","32","0.656618595123291","0.656618595123291","0.656618595123291","65","65","65","0.650390625","0.650390625","0.650390625","32","32","32","0.6068493127822876","0.6068493127822876","0.6068493127822876","65","65","65","0.650390625","0.650390625","0.650390625","65","65","65","0.67626953125","0.67626953125","0.67626953125","32","32","32","0.5317577719688416","0.5317577719688416","0.5317577719688416"
"6600","33","33","33","0.6446428298950195","0.6446428298950195","0.6446428298950195","67","67","67","0.66357421875","0.66357421875","0.66357421875","33","33","33","0.6568915247917175","0.6568915247917175","0.6568915247917175","67","67","67","0.6640625","0.6640625","0.6640625","67","67","67","0.63330078125","0.63330078125","0.63330078125","33","33","33","0.6397608518600464","0.6397608518600464","0.6397608518600464"
"6800","34","34","34","0.6176822185516357","0.6176822185516357","0.6176822185516357","69","69","69","0.63037109375","0.63037109375","0.63037109375","34","34","34","0.6559766530990601","0.6559766530990601","0.6559766530990601","69","69","69","0.63525390625","0.63525390625","0.63525390625","69","69","69","0.6513671875","0.6513671875","0.6513671875","34","34","34","0.6596026420593262","0.6596026420593262","0.6596026420593262"
"7000","35","35","35","0.5989911556243896","0.5989911556243896","0.5989911556243896","71","71","71","0.640625","0.640625","0.640625","35","35","35","0.6376360654830933","0.6376360654830933","0.6376360654830933","71","71","71","0.6396484375","0.6396484375","0.6396484375","71","71","71","0.640625","0.640625","0.640625","35","35","35","0.575875461101532","0.575875461101532","0.575875461101532"
"7200","36","36","36","0.6266666650772095","0.6266666650772095","0.6266666650772095","73","73","73","0.6552734375","0.6552734375","0.6552734375","36","36","36","0.6510695219039917","0.6510695219039917","0.6510695219039917","73","73","73","0.65380859375","0.65380859375","0.65380859375","73","73","73","0.6484375","0.6484375","0.6484375","36","36","36","0.5594855546951294","0.5594855546951294","0.5594855546951294"
"7400","37","37","37","0.6578013896942139","0.6578013896942139","0.6578013896942139","75","75","75","0.6669921875","0.6669921875","0.6669921875","37","37","37","0.5784061551094055","0.5784061551094055","0.5784061551094055","75","75","75","0.66748046875","0.66748046875","0.66748046875","75","75","75","0.6171875","0.6171875","0.6171875","37","37","37","0.6466753482818604","0.6466753482818604","0.6466753482818604"
"7600","38","38","38","0.6429872512817383","0.6429872512817383","0.6429872512817383","77","77","77","0.63330078125","0.63330078125","0.63330078125","38","38","38","0.6206415891647339","0.6206415891647339","0.6206415891647339","77","77","77","0.63232421875","0.63232421875","0.63232421875","77","77","77","0.6376953125","0.6376953125","0.6376953125","38","38","38","0.6244939565658569","0.6244939565658569","0.6244939565658569"
"7800","39","39","39","0.6727785468101501","0.6727785468101501","0.6727785468101501","79","79","79","0.6650390625","0.6650390625","0.6650390625","39","39","39","0.637400209903717","0.637400209903717","0.637400209903717","79","79","79","0.6630859375","0.6630859375","0.6630859375","79","79","79","0.650390625","0.650390625","0.650390625","39","39","39","0.6273115277290344","0.6273115277290344","0.6273115277290344"
"8000","40","40","40","0.6642012000083923","0.6642012000083923","0.6642012000083923","81","81","81","0.6494140625","0.6494140625","0.6494140625","40","40","40","0.6370840072631836","0.6370840072631836","0.6370840072631836","81","81","81","0.6474609375","0.6474609375","0.6474609375","81","81","81","0.64013671875","0.64013671875","0.64013671875","40","40","40","0.6363636255264282","0.6363636255264282","0.6363636255264282"
"8200","41","41","41","0.6046212911605835","0.6046212911605835","0.6046212911605835","83","83","83","0.66552734375","0.66552734375","0.66552734375","41","41","41","0.6325088143348694","0.6325088143348694","0.6325088143348694","83","83","83","0.6640625","0.6640625","0.6640625","83","83","83","0.6708984375","0.6708984375","0.6708984375","41","41","41","0.6389473676681519","0.6389473676681519","0.6389473676681519"
"8400","42","42","42","0.6522911190986633","0.6522911190986633","0.6522911190986633","85","85","85","0.63037109375","0.63037109375","0.63037109375","42","42","42","0.6903323531150818","0.6903323531150818","0.6903323531150818","85","85","85","0.63134765625","0.63134765625","0.63134765625","85","85","85","0.64306640625","0.64306640625","0.64306640625","42","42","42","0.6818181872367859","0.6818181872367859","0.6818181872367859"
"8497","","","","","","","87","87","87","0.65380859375","0.65380859375","0.65380859375","","","","","","","87","87","87","0.654296875","0.654296875","0.654296875","87","87","87","0.64111328125","0.64111328125","0.64111328125","","","","","",""
