"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - learning_rate","raschka_cpu_Seed45887 - learning_rate__MIN","raschka_cpu_Seed45887 - learning_rate__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - learning_rate","karpathy_cpu_Seed45887 - learning_rate__MIN","karpathy_cpu_Seed45887 - learning_rate__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - learning_rate","raschka_cpu_Seed5678 - learning_rate__MIN","raschka_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - learning_rate","karpathy_cpu_Seed5678 - learning_rate__MIN","karpathy_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - learning_rate","karpathy_cpu_Seed123 - learning_rate__MIN","karpathy_cpu_Seed123 - learning_rate__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - learning_rate","raschka_cpu_Seed123 - learning_rate__MIN","raschka_cpu_Seed123 - learning_rate__MAX"
"2400","12","12","12","0.00004623878001280459","0.00004623878001280459","0.00004623878001280459","25","25","25","0.00004623878001280459","0.00004623878001280459","0.00004623878001280459","12","12","12","0.00004537139125242038","0.00004537139125242038","0.00004537139125242038","25","25","25","0.00004537139125242038","0.00004537139125242038","0.00004537139125242038","25","25","25","0.00004537139125242038","0.00004537139125242038","0.00004537139125242038","12","12","12","0.00004537139125242038","0.00004537139125242038","0.00004537139125242038"
"2600","13","13","13","0.000045130604058399515","0.000045130604058399515","0.000045130604058399515","27","27","27","0.000045130604058399515","0.000045130604058399515","0.000045130604058399515","13","13","13","0.000044197390514180506","0.000044197390514180506","0.000044197390514180506","27","27","27","0.000044197390514180506","0.000044197390514180506","0.000044197390514180506","27","27","27","0.000044197390514180506","0.000044197390514180506","0.000044197390514180506","13","13","13","0.000044197390514180506","0.000044197390514180506","0.000044197390514180506"
"2800","14","14","14","0.000043898696141109674","0.000043898696141109674","0.000043898696141109674","29","29","29","0.000043898696141109674","0.000043898696141109674","0.000043898696141109674","14","14","14","0.000042912213682675787","0.000042912213682675787","0.000042912213682675787","29","29","29","0.000042912213682675787","0.000042912213682675787","0.000042912213682675787","29","29","29","0.000042912213682675787","0.000042912213682675787","0.000042912213682675787","14","14","14","0.000042912213682675787","0.000042912213682675787","0.000042912213682675787"
"3000","15","15","15","0.00004255170181750222","0.00004255170181750222","0.00004255170181750222","31","31","31","0.00004255170181750222","0.00004255170181750222","0.00004255170181750222","15","15","15","0.00004152441783987419","0.00004152441783987419","0.00004152441783987419","31","31","31","0.00004152441783987419","0.00004152441783987419","0.00004152441783987419","31","31","31","0.00004152441783987419","0.00004152441783987419","0.00004152441783987419","15","15","15","0.00004152441783987419","0.00004152441783987419","0.00004152441783987419"
"3200","16","16","16","0.000041099074323047825","0.000041099074323047825","0.000041099074323047825","33","33","33","0.000041099074323047825","0.000041099074323047825","0.000041099074323047825","16","16","16","0.00004004324333503393","0.00004004324333503393","0.00004004324333503393","33","33","33","0.00004004324333503393","0.00004004324333503393","0.00004004324333503393","33","33","33","0.00004004324333503393","0.00004004324333503393","0.00004004324333503393","16","16","16","0.00004004324333503393","0.00004004324333503393","0.00004004324333503393"
"3400","17","17","17","0.00003955100822910854","0.00003955100822910854","0.00003955100822910854","35","35","35","0.00003955100822910854","0.00003955100822910854","0.00003955100822910854","17","17","17","0.000038478552259764605","0.000038478552259764605","0.000038478552259764605","35","35","35","0.000038478552259764605","0.000038478552259764605","0.000038478552259764605","35","35","35","0.000038478552259764605","0.000038478552259764605","0.000038478552259764605","17","17","17","0.000038478552259764605","0.000038478552259764605","0.000038478552259764605"
"3600","18","18","18","0.000037918367897214116","0.000037918367897214116","0.000037918367897214116","37","37","37","0.000037918367897214116","0.000037918367897214116","0.000037918367897214116","18","18","18","0.00003684076278334641","0.00003684076278334641","0.00003684076278334641","37","37","37","0.00003684076278334641","0.00003684076278334641","0.00003684076278334641","37","37","37","0.00003684076278334641","0.00003684076278334641","0.00003684076278334641","18","18","18","0.00003684076278334641","0.00003684076278334641","0.00003684076278334641"
"3800","19","19","19","0.00003621261123273643","0.00003621261123273643","0.00003621261123273643","39","39","39","0.00003621261123273643","0.00003621261123273643","0.00003621261123273643","19","19","19","0.000035140779785522326","0.000035140779785522326","0.000035140779785522326","39","39","39","0.000035140779785522326","0.000035140779785522326","0.000035140779785522326","39","39","39","0.000035140779785522326","0.000035140779785522326","0.000035140779785522326","19","19","19","0.000035140779785522326","0.000035140779785522326","0.000035140779785522326"
"4000","20","20","20","0.00003444570927306026","0.00003444570927306026","0.00003444570927306026","41","41","41","0.00003444570927306026","0.00003444570927306026","0.00003444570927306026","20","20","20","0.000033389922248630005","0.000033389922248630005","0.000033389922248630005","41","41","41","0.000033389922248630005","0.000033389922248630005","0.000033389922248630005","41","41","41","0.000033389922248630005","0.000033389922248630005","0.000033389922248630005","20","20","20","0.000033389922248630005","0.000033389922248630005","0.000033389922248630005"
"4200","21","21","21","0.00003263006217458251","0.00003263006217458251","0.00003263006217458251","43","43","43","0.00003263006217458251","0.00003263006217458251","0.00003263006217458251","21","21","21","0.00003159984789251792","0.00003159984789251792","0.00003159984789251792","43","43","43","0.00003159984789251792","0.00003159984789251792","0.00003159984789251792","43","43","43","0.00003159984789251792","0.00003159984789251792","0.00003159984789251792","21","21","21","0.00003159984789251792","0.00003159984789251792","0.00003159984789251792"
