module,qualname,params,cyclomatic,calls_internal_funcs,calls_external_funcs
c5_gpt_download,c5_gpt_download.download_file,3,14,0,18
c5_pretraining_unlabeld_data_erweitert,c5_pretraining_unlabeld_data_erweitert.train_model,13,8,3,17
c5_pretraining_unlabeld_data_erweitert,c5_pretraining_unlabeld_data_erweitert.generate,7,6,0,12
c7_finetuning_follow_instruction_model,c7_finetuning_follow_instruction_model.custom_collate_fn,5,5,0,15
c5_gpt_download,c5_gpt_download.load_gpt2_params_from_tf_ckpt,2,5,0,8
