"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - grad_norm","raschka_gpu_45887 - grad_norm__MIN","raschka_gpu_45887 - grad_norm__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - grad_norm","raschka_gpu_5678 - grad_norm__MIN","raschka_gpu_5678 - grad_norm__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - grad_norm","raschka_gpu_123 - grad_norm__MIN","raschka_gpu_123 - grad_norm__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - grad_norm","karpathy_gpu_45887 - grad_norm__MIN","karpathy_gpu_45887 - grad_norm__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - grad_norm","karpathy_gpu_5678 - grad_norm__MIN","karpathy_gpu_5678 - grad_norm__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - grad_norm","karpathy_gpu_123 - grad_norm__MIN","karpathy_gpu_123 - grad_norm__MAX"
"2600","13","13","13","2.4554836750030518","2.4554836750030518","2.4554836750030518","13","13","13","2.5547986030578613","2.5547986030578613","2.5547986030578613","13","13","13","2.2632296085357666","2.2632296085357666","2.2632296085357666","27","27","27","0.9754458665847778","0.9754458665847778","0.9754458665847778","27","27","27","1.0040175914764404","1.0040175914764404","1.0040175914764404","27","27","27","0.9846912026405334","0.9846912026405334","0.9846912026405334"
"2800","14","14","14","2.130262613296509","2.130262613296509","2.130262613296509","14","14","14","2.032789468765259","2.032789468765259","2.032789468765259","14","14","14","2.3649892807006836","2.3649892807006836","2.3649892807006836","29","29","29","0.9081318378448486","0.9081318378448486","0.9081318378448486","29","29","29","0.9170847535133362","0.9170847535133362","0.9170847535133362","29","29","29","0.9142941832542419","0.9142941832542419","0.9142941832542419"
"3000","15","15","15","2.252208948135376","2.252208948135376","2.252208948135376","15","15","15","1.8799656629562378","1.8799656629562378","1.8799656629562378","15","15","15","1.929320216178894","1.929320216178894","1.929320216178894","31","31","31","0.8834277391433716","0.8834277391433716","0.8834277391433716","31","31","31","0.8883005380630493","0.8883005380630493","0.8883005380630493","31","31","31","0.897754967212677","0.897754967212677","0.897754967212677"
"3200","16","16","16","2.0116095542907715","2.0116095542907715","2.0116095542907715","16","16","16","2.401599645614624","2.401599645614624","2.401599645614624","16","16","16","2.408315420150757","2.408315420150757","2.408315420150757","33","33","33","0.9814620614051819","0.9814620614051819","0.9814620614051819","33","33","33","0.9850747585296631","0.9850747585296631","0.9850747585296631","33","33","33","0.9807211756706238","0.9807211756706238","0.9807211756706238"
"3400","17","17","17","2.392199754714966","2.392199754714966","2.392199754714966","17","17","17","2.1254398822784424","2.1254398822784424","2.1254398822784424","17","17","17","1.9082528352737427","1.9082528352737427","1.9082528352737427","35","35","35","0.9924346804618835","0.9924346804618835","0.9924346804618835","35","35","35","0.9878227710723877","0.9878227710723877","0.9878227710723877","35","35","35","0.9795606732368469","0.9795606732368469","0.9795606732368469"
"3600","18","18","18","2.371904134750366","2.371904134750366","2.371904134750366","18","18","18","2.045332670211792","2.045332670211792","2.045332670211792","18","18","18","1.5869265794754028","1.5869265794754028","1.5869265794754028","37","37","37","1.0081536769866943","1.0081536769866943","1.0081536769866943","37","37","37","1.0241761207580566","1.0241761207580566","1.0241761207580566","37","37","37","1.0011342763900757","1.0011342763900757","1.0011342763900757"
"3800","19","19","19","2.05558705329895","2.05558705329895","2.05558705329895","19","19","19","1.8435536623001099","1.8435536623001099","1.8435536623001099","19","19","19","2.175489664077759","2.175489664077759","2.175489664077759","39","39","39","1.0803271532058716","1.0803271532058716","1.0803271532058716","39","39","39","1.10831880569458","1.10831880569458","1.10831880569458","39","39","39","1.0680361986160278","1.0680361986160278","1.0680361986160278"
"4000","20","20","20","1.7013390064239502","1.7013390064239502","1.7013390064239502","20","20","20","2.2243714332580566","2.2243714332580566","2.2243714332580566","20","20","20","1.9979441165924072","1.9979441165924072","1.9979441165924072","41","41","41","1.0415499210357666","1.0415499210357666","1.0415499210357666","41","41","41","1.0390299558639526","1.0390299558639526","1.0390299558639526","41","41","41","1.055172324180603","1.055172324180603","1.055172324180603"
"4200","21","21","21","2.2550196647644043","2.2550196647644043","2.2550196647644043","21","21","21","1.5840675830841064","1.5840675830841064","1.5840675830841064","21","21","21","1.7626138925552368","1.7626138925552368","1.7626138925552368","43","43","43","1.1739840507507324","1.1739840507507324","1.1739840507507324","43","43","43","1.171866536140442","1.171866536140442","1.171866536140442","43","43","43","1.165897011756897","1.165897011756897","1.165897011756897"
"4400","22","22","22","1.8813893795013428","1.8813893795013428","1.8813893795013428","22","22","22","2.0506017208099365","2.0506017208099365","2.0506017208099365","22","22","22","1.7909119129180908","1.7909119129180908","1.7909119129180908","45","45","45","1.2272632122039795","1.2272632122039795","1.2272632122039795","45","45","45","1.2265774011611938","1.2265774011611938","1.2265774011611938","45","45","45","1.2250292301177979","1.2250292301177979","1.2250292301177979"
"4600","23","23","23","1.9665024280548096","1.9665024280548096","1.9665024280548096","23","23","23","2.138287305831909","2.138287305831909","2.138287305831909","23","23","23","2.0138916969299316","2.0138916969299316","2.0138916969299316","47","47","47","1.0199075937271118","1.0199075937271118","1.0199075937271118","47","47","47","1.031660556793213","1.031660556793213","1.031660556793213","47","47","47","1.0116416215896606","1.0116416215896606","1.0116416215896606"
"4800","24","24","24","1.9367729425430298","1.9367729425430298","1.9367729425430298","24","24","24","1.9775118827819824","1.9775118827819824","1.9775118827819824","24","24","24","1.7624043226242065","1.7624043226242065","1.7624043226242065","49","49","49","1.0893043279647827","1.0893043279647827","1.0893043279647827","49","49","49","1.0812184810638428","1.0812184810638428","1.0812184810638428","49","49","49","1.0881742238998413","1.0881742238998413","1.0881742238998413"
"5000","25","25","25","1.9333610534667969","1.9333610534667969","1.9333610534667969","25","25","25","1.861291766166687","1.861291766166687","1.861291766166687","25","25","25","1.7989872694015503","1.7989872694015503","1.7989872694015503","51","51","51","1.0245250463485718","1.0245250463485718","1.0245250463485718","51","51","51","1.0251508951187134","1.0251508951187134","1.0251508951187134","51","51","51","1.0327131748199463","1.0327131748199463","1.0327131748199463"
"5200","26","26","26","1.7044548988342285","1.7044548988342285","1.7044548988342285","26","26","26","1.9623937606811523","1.9623937606811523","1.9623937606811523","26","26","26","1.9250209331512451","1.9250209331512451","1.9250209331512451","53","53","53","1.1516574621200562","1.1516574621200562","1.1516574621200562","53","53","53","1.1547998189926147","1.1547998189926147","1.1547998189926147","53","53","53","1.1479618549346924","1.1479618549346924","1.1479618549346924"
"5400","27","27","27","1.8691307306289673","1.8691307306289673","1.8691307306289673","27","27","27","1.681129813194275","1.681129813194275","1.681129813194275","27","27","27","1.7929644584655762","1.7929644584655762","1.7929644584655762","55","55","55","1.0191370248794556","1.0191370248794556","1.0191370248794556","55","55","55","1.0166805982589722","1.0166805982589722","1.0166805982589722","55","55","55","1.0200825929641724","1.0200825929641724","1.0200825929641724"
