"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - train_accuracy","raschka_gpu_45887 - train_accuracy__MIN","raschka_gpu_45887 - train_accuracy__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - train_accuracy","raschka_gpu_5678 - train_accuracy__MIN","raschka_gpu_5678 - train_accuracy__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - train_accuracy","raschka_gpu_123 - train_accuracy__MIN","raschka_gpu_123 - train_accuracy__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - train_accuracy","karpathy_gpu_45887 - train_accuracy__MIN","karpathy_gpu_45887 - train_accuracy__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - train_accuracy","karpathy_gpu_5678 - train_accuracy__MIN","karpathy_gpu_5678 - train_accuracy__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - train_accuracy","karpathy_gpu_123 - train_accuracy__MIN","karpathy_gpu_123 - train_accuracy__MAX"
"2600","13","13","13","0.6002638339996338","0.6002638339996338","0.6002638339996338","13","13","13","0.5848656296730042","0.5848656296730042","0.5848656296730042","13","13","13","0.6267942786216736","0.6267942786216736","0.6267942786216736","27","27","27","0.623046875","0.623046875","0.623046875","27","27","27","0.62451171875","0.62451171875","0.62451171875","27","27","27","0.62353515625","0.62353515625","0.62353515625"
"2800","14","14","14","0.5611253380775452","0.5611253380775452","0.5611253380775452","14","14","14","0.6100940108299255","0.6100940108299255","0.6100940108299255","14","14","14","0.5992592573165894","0.5992592573165894","0.5992592573165894","29","29","29","0.62060546875","0.62060546875","0.62060546875","29","29","29","0.62060546875","0.62060546875","0.62060546875","29","29","29","0.6229248046875","0.6229248046875","0.6229248046875"
"3000","15","15","15","0.580208957195282","0.580208957195282","0.580208957195282","15","15","15","0.6305418610572815","0.6305418610572815","0.6305418610572815","15","15","15","0.6169576048851013","0.6169576048851013","0.6169576048851013","31","31","31","0.6099853515625","0.6099853515625","0.6099853515625","31","31","31","0.6112060546875","0.6112060546875","0.6112060546875","31","31","31","0.611328125","0.611328125","0.611328125"
"3200","16","16","16","0.5903550386428833","0.5903550386428833","0.5903550386428833","16","16","16","0.5730336904525757","0.5730336904525757","0.5730336904525757","16","16","16","0.5545260310173035","0.5545260310173035","0.5545260310173035","33","33","33","0.6334228515625","0.6334228515625","0.6334228515625","33","33","33","0.635986328125","0.635986328125","0.635986328125","33","33","33","0.6348876953125","0.6348876953125","0.6348876953125"
"3400","17","17","17","0.6022058725357056","0.6022058725357056","0.6022058725357056","17","17","17","0.5677764415740967","0.5677764415740967","0.5677764415740967","17","17","17","0.6176470518112183","0.6176470518112183","0.6176470518112183","35","35","35","0.6278076171875","0.6278076171875","0.6278076171875","35","35","35","0.6297607421875","0.6297607421875","0.6297607421875","35","35","35","0.629638671875","0.629638671875","0.629638671875"
"3600","18","18","18","0.5644257664680481","0.5644257664680481","0.5644257664680481","18","18","18","0.6107512712478638","0.6107512712478638","0.6107512712478638","18","18","18","0.5943238735198975","0.5943238735198975","0.5943238735198975","37","37","37","0.638427734375","0.638427734375","0.638427734375","37","37","37","0.64013671875","0.64013671875","0.64013671875","37","37","37","0.6402587890625","0.6402587890625","0.6402587890625"
"3800","19","19","19","0.6140829920768738","0.6140829920768738","0.6140829920768738","19","19","19","0.6255201101303101","0.6255201101303101","0.6255201101303101","19","19","19","0.6218649744987488","0.6218649744987488","0.6218649744987488","39","39","39","0.62548828125","0.62548828125","0.62548828125","39","39","39","0.6270751953125","0.6270751953125","0.6270751953125","39","39","39","0.62744140625","0.62744140625","0.62744140625"
"4000","20","20","20","0.6134969592094421","0.6134969592094421","0.6134969592094421","20","20","20","0.6000000238418579","0.6000000238418579","0.6000000238418579","20","20","20","0.5722120404243469","0.5722120404243469","0.5722120404243469","41","41","41","0.6141357421875","0.6141357421875","0.6141357421875","41","41","41","0.6181640625","0.6181640625","0.6181640625","41","41","41","0.616943359375","0.616943359375","0.616943359375"
"4200","21","21","21","0.5741797685623169","0.5741797685623169","0.5741797685623169","21","21","21","0.6336244344711304","0.6336244344711304","0.6336244344711304","21","21","21","0.6154850125312805","0.6154850125312805","0.6154850125312805","43","43","43","0.6517333984375","0.6517333984375","0.6517333984375","43","43","43","0.650146484375","0.650146484375","0.650146484375","43","43","43","0.65185546875","0.65185546875","0.65185546875"
"4400","22","22","22","0.6304952502250671","0.6304952502250671","0.6304952502250671","22","22","22","0.5998553037643433","0.5998553037643433","0.5998553037643433","22","22","22","0.6272780895233154","0.6272780895233154","0.6272780895233154","45","45","45","0.6461181640625","0.6461181640625","0.6461181640625","45","45","45","0.6474609375","0.6474609375","0.6474609375","45","45","45","0.646484375","0.646484375","0.646484375"
