"Relative Time (Process)","raschka_gpu_45887 - system/cpu","raschka_gpu_45887 - system/cpu__MIN","raschka_gpu_45887 - system/cpu__MAX","raschka_gpu_5678 - system/cpu","raschka_gpu_5678 - system/cpu__MIN","raschka_gpu_5678 - system/cpu__MAX","raschka_gpu_123 - system/cpu","raschka_gpu_123 - system/cpu__MIN","raschka_gpu_123 - system/cpu__MAX","karpathy_gpu_45887 - system/cpu","karpathy_gpu_45887 - system/cpu__MIN","karpathy_gpu_45887 - system/cpu__MAX","karpathy_gpu_5678 - system/cpu","karpathy_gpu_5678 - system/cpu__MIN","karpathy_gpu_5678 - system/cpu__MAX","karpathy_gpu_123 - system/cpu","karpathy_gpu_123 - system/cpu__MIN","karpathy_gpu_123 - system/cpu__MAX"
"150.3512737","","","","3.536693598160092","3.536693598160092","3.536693598160092","","","","","","","","","","","",""
"150.566539817","","","","","","","","","","","","","","","","3.252614584672978","3.252614584672978","3.252614584672978"
"165.285802905","","","","","","","","","","4.8233286851066515","4.8233286851066515","4.8233286851066515","","","","","",""
"165.286474067","3.4856990094476945","3.4856990094476945","3.4856990094476945","","","","","","","","","","","","","","",""
"165.309072904","","","","","","","","","","","","","4.887276930698541","4.887276930698541","4.887276930698541","","",""
"165.33247552","","","","","","","3.4894284612907196","3.4894284612907196","3.4894284612907196","","","","","","","","",""
"165.350981003","","","","3.520614795279129","3.520614795279129","3.520614795279129","","","","","","","","","","","",""
"165.567610572","","","","","","","","","","","","","","","","3.35294506644851","3.35294506644851","3.35294506644851"
"180.28561425","","","","","","","","","","4.842032997505265","4.842032997505265","4.842032997505265","","","","","",""
"180.286025527","3.4805122811320635","3.4805122811320635","3.4805122811320635","","","","","","","","","","","","","","",""
"180.308356663","","","","","","","","","","","","","4.888453623592674","4.888453623592674","4.888453623592674","","",""
"180.332820184","","","","","","","3.485431775578095","3.485431775578095","3.485431775578095","","","","","","","","",""
"180.350342778","","","","3.5141629877048826","3.5141629877048826","3.5141629877048826","","","","","","","","","","","",""
"180.567511219","","","","","","","","","","","","","","","","3.429905180738658","3.429905180738658","3.429905180738658"
"195.285793615","","","","","","","","","","4.839645235795711","4.839645235795711","4.839645235795711","","","","","",""
"195.286367515","3.470513065451255","3.470513065451255","3.470513065451255","","","","","","","","","","","","","","",""
"195.308845333","","","","","","","","","","","","","4.884159915131963","4.884159915131963","4.884159915131963","","",""
"195.333254028","","","","","","","3.4750848323750456","3.4750848323750456","3.4750848323750456","","","","","","","","",""
"195.35038806","","","","3.501849125696668","3.501849125696668","3.501849125696668","","","","","","","","","","","",""
"195.567066924","","","","","","","","","","","","","","","","3.4959199654728743","3.4959199654728743","3.4959199654728743"
"210.285853854","3.461670177026876","3.461670177026876","3.461670177026876","","","","","","","","","","","","","","",""
"210.286001239","","","","","","","","","","4.828323731273047","4.828323731273047","4.828323731273047","","","","","",""
"210.308400149","","","","","","","","","","","","","4.899690277933675","4.899690277933675","4.899690277933675","","",""
"210.332586917","","","","","","","3.4659468206818707","3.4659468206818707","3.4659468206818707","","","","","","","","",""
"210.351138909","","","","3.4908257410173587","3.4908257410173587","3.4908257410173587","","","","","","","","","","","",""
"210.567487638","","","","","","","","","","","","","","","","3.5640883899597555","3.5640883899597555","3.5640883899597555"
"225.286195864","","","","","","","","","","4.81674927524711","4.81674927524711","4.81674927524711","","","","","",""
"225.286261244","3.453888499010403","3.453888499010403","3.453888499010403","","","","","","","","","","","","","","",""
"225.308312865","","","","","","","","","","","","","4.898175504226689","4.898175504226689","4.898175504226689","","",""
"225.332905488","","","","","","","3.4580379066935394","3.4580379066935394","3.4580379066935394","","","","","","","","",""
"225.350490195","","","","3.4814275489902826","3.4814275489902826","3.4814275489902826","","","","","","","","","","","",""
"225.566646289","","","","","","","","","","","","","","","","3.6144570532318245","3.6144570532318245","3.6144570532318245"
"240.286116512","","","","","","","","","","4.827203801456194","4.827203801456194","4.827203801456194","","","","","",""
"240.286300306","3.4525860462727938","3.4525860462727938","3.4525860462727938","","","","","","","","","","","","","","",""
"240.308476886","","","","","","","","","","","","","4.902224396985351","4.902224396985351","4.902224396985351","","",""
"240.332864419","","","","","","","3.454087453220232","3.454087453220232","3.454087453220232","","","","","","","","",""
"240.351229044","","","","3.477150334214879","3.477150334214879","3.477150334214879","","","","","","","","","","","",""
"240.567016982","","","","","","","","","","","","","","","","3.6704587180912944","3.6704587180912944","3.6704587180912944"
"255.285826124","","","","","","","","","","4.816498480129638","4.816498480129638","4.816498480129638","","","","","",""
"255.286145793","3.446143936025453","3.446143936025453","3.446143936025453","","","","","","","","","","","","","","",""
"255.309206801","","","","","","","","","","","","","4.908289558589574","4.908289558589574","4.908289558589574","","",""
"255.332771036","","","","","","","3.447559132304739","3.447559132304739","3.447559132304739","","","","","","","","",""
"255.350253771","","","","3.469506451341471","3.469506451341471","3.469506451341471","","","","","","","","","","","",""
"255.567285394","","","","","","","","","","","","","","","","3.718183475989827","3.718183475989827","3.718183475989827"
"270.285784534","","","","","","","","","","4.810686940510005","4.810686940510005","4.810686940510005","","","","","",""
"270.285920859","3.440475226353388","3.440475226353388","3.440475226353388","","","","","","","","","","","","","","",""
"270.308449583","","","","","","","","","","","","","4.905160636348002","4.905160636348002","4.905160636348002","","",""
"270.332591669","","","","","","","3.4417025355008604","3.4417025355008604","3.4417025355008604","","","","","","","","",""
"270.350242522","","","","3.4624109579528906","3.4624109579528906","3.4624109579528906","","","","","","","","","","","",""
"270.566789167","","","","","","","","","","","","","","","","3.7628491432581015","3.7628491432581015","3.7628491432581015"
"285.285842956","3.4353595621311874","3.4353595621311874","3.4353595621311874","","","","","","","","","","","","","","",""
"285.286258585","","","","","","","","","","4.809359710145119","4.809359710145119","4.809359710145119","","","","","",""
"285.308533012","","","","","","","","","","","","","4.916173970094795","4.916173970094795","4.916173970094795","","",""
"285.332833624","","","","","","","3.4365209545098803","3.4365209545098803","3.4365209545098803","","","","","","","","",""
"285.350638123","","","","3.4555695473639045","3.4555695473639045","3.4555695473639045","","","","","","","","","","","",""
"285.570184478","","","","","","","","","","","","","","","","3.811506163293503","3.811506163293503","3.811506163293503"
"300.286202504","","","","","","","","","","4.811890640074801","4.811890640074801","4.811890640074801","","","","","",""
"300.286410921","3.4350523341714143","3.4350523341714143","3.4350523341714143","","","","","","","","","","","","","","",""
"300.308988069","","","","","","","","","","","","","4.922195619445088","4.922195619445088","4.922195619445088","","",""
"300.332597016","","","","","","","3.434410745081842","3.434410745081842","3.434410745081842","","","","","","","","",""
"300.350556142","","","","3.453193116909175","3.453193116909175","3.453193116909175","","","","","","","","","","","",""
"300.567474337","","","","","","","","","","","","","","","","3.8478631215443717","3.8478631215443717","3.8478631215443717"
"315.285692192","","","","","","","","","","4.806990628953163","4.806990628953163","4.806990628953163","","","","","",""
"315.286083654","3.4306338284337157","3.4306338284337157","3.4306338284337157","","","","","","","","","","","","","","",""
