"step","raschka_gpu_45887 - _step","raschka_gpu_45887 - _step__MIN","raschka_gpu_45887 - _step__MAX","raschka_gpu_45887 - throughput","raschka_gpu_45887 - throughput__MIN","raschka_gpu_45887 - throughput__MAX","raschka_gpu_5678 - _step","raschka_gpu_5678 - _step__MIN","raschka_gpu_5678 - _step__MAX","raschka_gpu_5678 - throughput","raschka_gpu_5678 - throughput__MIN","raschka_gpu_5678 - throughput__MAX","raschka_gpu_123 - _step","raschka_gpu_123 - _step__MIN","raschka_gpu_123 - _step__MAX","raschka_gpu_123 - throughput","raschka_gpu_123 - throughput__MIN","raschka_gpu_123 - throughput__MAX","karpathy_gpu_45887 - _step","karpathy_gpu_45887 - _step__MIN","karpathy_gpu_45887 - _step__MAX","karpathy_gpu_45887 - throughput","karpathy_gpu_45887 - throughput__MIN","karpathy_gpu_45887 - throughput__MAX","karpathy_gpu_5678 - _step","karpathy_gpu_5678 - _step__MIN","karpathy_gpu_5678 - _step__MAX","karpathy_gpu_5678 - throughput","karpathy_gpu_5678 - throughput__MIN","karpathy_gpu_5678 - throughput__MAX","karpathy_gpu_123 - _step","karpathy_gpu_123 - _step__MIN","karpathy_gpu_123 - _step__MAX","karpathy_gpu_123 - throughput","karpathy_gpu_123 - throughput__MIN","karpathy_gpu_123 - throughput__MAX"
"2600","13","13","13","12066.880323154686","12066.880323154686","12066.880323154686","13","13","13","12422.530362447384","12422.530362447384","12422.530362447384","13","13","13","12277.508964507866","12277.508964507866","12277.508964507866","27","27","27","61528.40583270808","61528.40583270808","61528.40583270808","27","27","27","59667.44759609207","59667.44759609207","59667.44759609207","27","27","27","60082.70767336861","60082.70767336861","60082.70767336861"
"2800","14","14","14","11626.770427856945","11626.770427856945","11626.770427856945","14","14","14","11896.034942424414","11896.034942424414","11896.034942424414","14","14","14","12397.643590617743","12397.643590617743","12397.643590617743","29","29","29","61782.53383680368","61782.53383680368","61782.53383680368","29","29","29","60093.531095491024","60093.531095491024","60093.531095491024","29","29","29","61321.74416359253","61321.74416359253","61321.74416359253"
"3000","15","15","15","12407.966009855934","12407.966009855934","12407.966009855934","15","15","15","11157.25078181255","11157.25078181255","11157.25078181255","15","15","15","11286.47177958291","11286.47177958291","11286.47177958291","31","31","31","60934.702839976024","60934.702839976024","60934.702839976024","31","31","31","62053.89549726571","62053.89549726571","62053.89549726571","31","31","31","61865.185386309255","61865.185386309255","61865.185386309255"
"3200","16","16","16","11575.306492717646","11575.306492717646","11575.306492717646","16","16","16","12138.795491860303","12138.795491860303","12138.795491860303","16","16","16","12190.660703866943","12190.660703866943","12190.660703866943","33","33","33","58032.45242687619","58032.45242687619","58032.45242687619","33","33","33","60965.19203117127","60965.19203117127","60965.19203117127","33","33","33","61561.36720309314","61561.36720309314","61561.36720309314"
"3400","17","17","17","12173.615312205837","12173.615312205837","12173.615312205837","17","17","17","12256.143516477208","12256.143516477208","12256.143516477208","17","17","17","12290.334242213725","12290.334242213725","12290.334242213725","35","35","35","61587.07731244567","61587.07731244567","61587.07731244567","35","35","35","61645.750192868705","61645.750192868705","61645.750192868705","35","35","35","61587.96044431141","61587.96044431141","61587.96044431141"
"3600","18","18","18","12020.58276776885","12020.58276776885","12020.58276776885","18","18","18","12009.36816621204","12009.36816621204","12009.36816621204","18","18","18","10985.57408998099","10985.57408998099","10985.57408998099","37","37","37","61808.09549747261","61808.09549747261","61808.09549747261","37","37","37","60609.554664554606","60609.554664554606","60609.554664554606","37","37","37","59509.12971218561","59509.12971218561","59509.12971218561"
"3800","19","19","19","11918.906983127472","11918.906983127472","11918.906983127472","19","19","19","12047.587892478236","12047.587892478236","12047.587892478236","19","19","19","11983.187468573387","11983.187468573387","11983.187468573387","39","39","39","59561.8433248104","59561.8433248104","59561.8433248104","39","39","39","59039.988673033506","59039.988673033506","59039.988673033506","39","39","39","61562.91141036759","61562.91141036759","61562.91141036759"
"4000","20","20","20","11182.949678592298","11182.949678592298","11182.949678592298","20","20","20","12353.072448093457","12353.072448093457","12353.072448093457","20","20","20","11996.369578570324","11996.369578570324","11996.369578570324","41","41","41","59710.16778059301","59710.16778059301","59710.16778059301","41","41","41","59921.554428578405","59921.554428578405","59921.554428578405","41","41","41","60155.70987779684","60155.70987779684","60155.70987779684"
"4200","21","21","21","12468.337417318546","12468.337417318546","12468.337417318546","21","21","21","11678.732512832112","11678.732512832112","11678.732512832112","21","21","21","11653.548387308158","11653.548387308158","11653.548387308158","43","43","43","59833.79863579293","59833.79863579293","59833.79863579293","43","43","43","60074.093755463706","60074.093755463706","60074.093755463706","43","43","43","61476.88492319804","61476.88492319804","61476.88492319804"
"4400","22","22","22","11762.430736872515","11762.430736872515","11762.430736872515","22","22","22","12535.700932777363","12535.700932777363","12535.700932777363","22","22","22","11945.339275437631","11945.339275437631","11945.339275437631","45","45","45","61462.588868317725","61462.588868317725","61462.588868317725","45","45","45","60377.48227496213","60377.48227496213","60377.48227496213","45","45","45","61660.24224261229","61660.24224261229","61660.24224261229"
"4600","23","23","23","12266.143985418576","12266.143985418576","12266.143985418576","23","23","23","11872.767038961952","11872.767038961952","11872.767038961952","23","23","23","11702.845857247787","11702.845857247787","11702.845857247787","47","47","47","61630.159489879195","61630.159489879195","61630.159489879195","47","47","47","61396.25431394167","61396.25431394167","61396.25431394167","47","47","47","59418.1582444187","59418.1582444187","59418.1582444187"
"4800","24","24","24","11961.820323158941","11961.820323158941","11961.820323158941","24","24","24","11865.206371004871","11865.206371004871","11865.206371004871","24","24","24","11781.960173611233","11781.960173611233","11781.960173611233","49","49","49","61292.428058445876","61292.428058445876","61292.428058445876","49","49","49","61711.627715844166","61711.627715844166","61711.627715844166","49","49","49","61384.84691724595","61384.84691724595","61384.84691724595"
"5000","25","25","25","11922.123266222472","11922.123266222472","11922.123266222472","25","25","25","12026.966684770005","12026.966684770005","12026.966684770005","25","25","25","11480.522898225601","11480.522898225601","11480.522898225601","51","51","51","61260.51852182022","61260.51852182022","61260.51852182022","51","51","51","61197.452998181514","61197.452998181514","61197.452998181514","51","51","51","58421.71476179708","58421.71476179708","58421.71476179708"
"5200","26","26","26","11923.941028981293","11923.941028981293","11923.941028981293","26","26","26","11953.955732839248","11953.955732839248","11953.955732839248","26","26","26","12310.97820305755","12310.97820305755","12310.97820305755","53","53","53","58091.51743773204","58091.51743773204","58091.51743773204","53","53","53","61483.155290884104","61483.155290884104","61483.155290884104","53","53","53","61384.62758577566","61384.62758577566","61384.62758577566"
"5400","27","27","27","12158.365088007537","12158.365088007537","12158.365088007537","27","27","27","12084.329848581001","12084.329848581001","12084.329848581001","27","27","27","12225.446119554701","12225.446119554701","12225.446119554701","55","55","55","61774.647333475965","61774.647333475965","61774.647333475965","55","55","55","58258.66700577674","58258.66700577674","58258.66700577674","55","55","55","59577.43802581477","59577.43802581477","59577.43802581477"
"5600","28","28","28","12037.127800821952","12037.127800821952","12037.127800821952","28","28","28","12023.381143055733","12023.381143055733","12023.381143055733","28","28","28","12122.88324084884","12122.88324084884","12122.88324084884","57","57","57","61699.99204143053","61699.99204143053","61699.99204143053","57","57","57","56319.407507453856","56319.407507453856","56319.407507453856","57","57","57","61399.21654289043","61399.21654289043","61399.21654289043"
"5800","29","29","29","12101.923568984777","12101.923568984777","12101.923568984777","29","29","29","12489.082172483028","12489.082172483028","12489.082172483028","29","29","29","11759.3570297848","11759.3570297848","11759.3570297848","59","59","59","59822.1311674632","59822.1311674632","59822.1311674632","59","59","59","61679.723207441835","61679.723207441835","61679.723207441835","59","59","59","61647.85167083816","61647.85167083816","61647.85167083816"
